instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC03_V8a,120,316723.788282,42423.788281999994,274300.0,True,120.5264,52,142942.708974,40342.708974,102600.0,True,3877.8618,54,3998.3882,1h 6m 38.39s,54.87%
LR1_DR02_VC01_V6a,120,529758.09356,34158.09355999997,495600.0,True,19.5429,53,110938.36631999996,33738.36631999996,77200.0,True,4683.7911,57,4703.334,1h 18m 23.33s,79.06%
LR1_DR02_VC03_V7a,120,389381.724354,34681.72435399998,354700.0,True,64.8869,57,100528.19031199998,34228.19031199998,66300.0,True,6297.8168,65,6362.7037,1h 46m 2.70s,74.18%
LR1_DR02_VC02_V6a,120,731274.78451,31374.784509999998,699900.0,True,85.4218,73,59846.05081999999,32446.050819999993,27400.0,True,7672.037,71,7757.4588,2h 9m 17.46s,91.82%
LR1_DR02_VC05_V8a,120,155207.748642,38207.748642,117000.0,True,2021.4639,71,58369.68259599998,37269.68259599998,21100.0,True,7677.5787,69,9699.0425,2h 41m 39.04s,62.39%
LR1_DR02_VC04_V8a,120,139679.93219800002,43279.93219800001,96400.0,True,2193.1228,75,62706.857593999965,42206.857593999965,20500.0,True,8884.5561,75,11077.6789,3h 4m 37.68s,55.11%
LR1_DR03_VC03_V10b,120,1800370.007424,14870.007424000001,1785500.0,True,620.0819,36,131455.12641399997,57655.12641399998,73800.0,True,19568.1309,96,20188.2128,5h 36m 28.21s,92.70%
LR1_DR03_VC03_V16a,120,880101.922798,73001.92279800003,807100.0,True,4095.1561,76,136964.77967800002,68464.77967800004,68500.0,True,16929.4976,92,21024.6537,5h 50m 24.65s,84.44%
LR1_DR03_VC03_V13b,120,1697028.718968,69928.718968,1627100.0,True,1407.287,110,278145.203106,72945.203106,205200.0,True,30418.5907,114,31825.8777,8h 50m 25.88s,83.61%
LR1_DR04_VC03_V15a,120,2154680.524732,73880.52473199999,2080800.0,True,537.9676,89,135477.76545,73177.76544999999,62300.0,True,42574.3059,123,43112.2736,11h 58m 32.27s,93.71%
LR1_DR04_VC05_V17a,120,2423771.166862,81271.16686199997,2342500.0,True,788.4636,144,84675.62757999994,74875.62757999994,9800.0,True,42329.2142,136,43117.6778,11h 58m 37.68s,96.51%
LR1_DR04_VC03_V15b,120,2443271.262204,65971.26220399996,2377300.0,True,2096.1702,134,140703.79725399992,76403.79725399993,64300.0,True,41047.0605,136,43143.2308,11h 59m 3.23s,94.24%
LR1_DR04_VC05_V17b,120,2368975.468232,71075.46823199997,2297900.0,True,1624.6031,117,151268.68416999996,78568.68416999998,72700.0,True,41545.857,147,43170.4601,11h 59m 30.46s,93.61%
LR1_DR05_VC05_V25a,120,2726734.538948,61234.53894799998,2665500.0,True,4771.5531,111,246436.091028,99936.09102800001,146500.0,True,38236.6252,149,43008.1783,11h 56m 48.18s,90.96%
LR1_DR02_VC01_V6a,180,822759.95636,53959.956359999946,768800.0,True,99.3425,81,161795.55685999992,52995.556859999924,108800.0,True,17270.6822,87,17370.0247,4h 49m 30.02s,80.34%
LR1_DR02_VC02_V6a,180,1163355.6834,48655.68340000004,1114700.0,True,288.3855,110,110863.34918000002,50363.34918000002,60500.0,True,28260.2038,104,28548.5893,7h 55m 48.59s,90.47%
LR1_DR02_VC03_V7a,180,625054.05964,55754.05963999996,569300.0,True,283.6717,87,191695.95624799994,53795.95624799995,137900.0,True,24821.0993,99,25104.771,6h 58m 24.77s,69.33%
LR1_DR02_VC03_V8a,180,596950.662552,67950.66255200002,529000.0,True,443.5252,78,211492.25196799997,60892.25196799998,150600.0,True,13916.5767,82,14360.1018,3h 59m 20.10s,64.57%
LR1_DR02_VC04_V8a,180,191946.913526,66346.913526,125600.0,True,1701.4023,112,143459.83939799998,65059.839398,78400.0,True,10385.473,112,12086.8752,3h 21m 26.88s,25.26%
LR1_DR02_VC05_V8a,180,319689.017636,59089.017636,260600.0,True,1656.6163,106,88552.56897999995,58052.56897999996,30500.0,True,9168.1449,104,10824.7611,3h 0m 24.76s,72.30%
LR1_DR03_VC03_V10b,180,2640521.122826,22321.122826000003,2618200.0,True,783.4276,50,230056.18437999996,77756.18437999996,152300.0,True,16447.4739,124,17230.9015,4h 47m 10.90s,91.29%
